UNITID,CITY_MAIN,STABBR_MAIN,ST_FIPS_MAIN,ZIP_MAIN,REGION_MAIN,LATITUDE_MAIN,LONGITUDE_MAIN,INSTNM,SAT_AVG,earn_2002_p10,gt_25k_2006_p6
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1025,4048,0.92
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,866,45556,0.34
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,453,4675,0.71
4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,572,15466,0.34
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1111,11266,0.86
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,818,23357,0.58
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1392,32584,0.39
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,718,252,0.26
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1297,36088,0.63
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,635,3259,0.70
