"USPS","GEOID","ANSICODE","NAME","LSAD","FUNCSTAT","POP10","HU10","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"NY","3651000","02395220","New York","25","A","8175133","3371062","783842402","429527437","302.643","165.841","40.664274","-73.938500"
"CA","0644000","02410877","Los Angeles","25","A","3792621","1413995","1213850147","88119442","468.670","34.023","34.019394","-118.410825"
"IL","1714000","00428803","Chicago","25","A","2695598","1194337","589571105","16781658","227.635","6.479","41.837551","-87.681844"
"TX","4835000","02410796","Houston","25","A","2099451","892646","1552929379","72277296","599.589","27.906","29.780472","-95.386342"
"PA","4260000","01215531","Philadelphia","25","A","1526006","670171","347321129","22289408","134.101","8.606","40.009376","-75.133346"
"AZ","0455000","02411414","Phoenix","25","A","1445632","590149","1338256106","3221362","516.704","1.244","33.572162","-112.087966"
"TX","4865000","02411774","San Antonio","25","A","1327407","524246","1193811736","14968532","460.933","5.779","29.472403","-98.525142"
"CA","0666000","02411782","San Diego","25","A","1307402","516033","842233444","122273028","325.188","47.210","32.815300","-117.134993"
"TX","4819000","02410288","Dallas","25","A","1197816","516639","881939036","117394747","340.519","45.326","32.794176","-96.765503"
"CA","0668000","02411790","San Jose","25","A","945942","314038","457201438","8907829","176.526","3.439","37.296867","-121.819306"
"FL","1235000","02404783","Jacksonville","25","A","821784","366273","1934729255","330550113","747.003","127.626","30.337019","-81.661302"
"IN","1836003","02395424","Indianapolis (balance)","00","F","820445","379856","936107645","17072644","361.433","6.592","39.776664","-86.145935"
"CA","0667000","02411786","San Francisco","25","A","805235","376942","121399963","479190317","46.873","185.016","37.727239","-123.032229"
"TX","4805000","02409761","Austin","25","A","790390","354241","771546901","18560605","297.896","7.166","30.307182","-97.755996"
"OH","3918000","01086101","Columbus","25","A","787033","370965","562466164","15373425","217.169","5.936","39.984799","-82.985044"
"TX","4827000","02410531","Fort Worth","25","A","741206","291086","880127783","20832365","339.819","8.043","32.779542","-97.346335"
"NC","3712000","02404032","Charlotte","25","A","731424","319918","770983559","5148533","297.678","1.988","35.208707","-80.830739"
"MI","2622000","01626181","Detroit","25","A","713777","349170","359361795","10667148","138.750","4.119","42.383037","-83.102237"
